127.0.0.1 - - [19/Sep/2018:18:24:24 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:51 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:51 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:51 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:31:52 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:35 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:36 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:37 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:38 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:38 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:38 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:38 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:39 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:40 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:41 -0300] "GET /tcc/img/cd-icon-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:42 -0300] "GET /tcc/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:42 -0300] "GET /tcc/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:42 -0300] "GET /tcc/js/padrao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:42 -0300] "GET /tcc/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:32:42 -0300] "GET /tcc/js/cidades-estados-utf8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/salas.jsp HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/css/padrao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/css/pesquisa.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/imagens/logo/coliseu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/img/img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/imagens/fundo/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:18:33:08 -0300] "GET /tcc/img/cd-icon-filter.svg HTTP/1.1" 304 -
